_c0,_c1,_c2
holy crap!!! i just saw the new moon trailer and it is AWESOME  going to school.,1,holy crap saw new moon trailer awesome going school
@andiraa BelJo invades @tebakangaring too!! yes!,1,andiraa beljo invades tebakangaring yes
"@iamww Just holler if you have any #habari related questions, someone will hear you",1,iamww holler habari related questions someone hear
"Sittin in cafe nero with @xxLucyFxx and @Sairwa ,recovering from ur math exam with blended vanilla shake",1,sittin cafe nero xxlucyfxx sairwa recovering ur math exam blended vanilla shake
going to the &quot;Sparklefeast&quot; tonight xD and finally watching the NEW MOON trailer!!!!!,1,going quot sparklefeast quot tonight xd finally watching new moon trailer
"@NikitaHegarty lol I'm sure ur room's not that bad! Even if it is, did u know a tidy house is the sign of a wasted life? mess is good!  xx",1,nikitahegarty lol sure ur room bad even u know tidy house sign wasted life mess good xx
@kaboooom good too!,1,kaboooom good
"@DamianGrounds Thanks, you're a star! Trying to scroll down and see what I've missed  #elevensestime",1,damiangrounds thanks star trying scroll see missed elevensestime
"@adolgushin yeah, you have to leverage this rule to context",1,adolgushin yeah leverage rule context
Thinks working at work. Harmony restored,1,thinks working work harmony restored
@MiMaMe Don't be embarrassed! Sounds good to me!,1,mimame embarrassed sounds good
"@docaoimh That's great, we're here if you need us. Send a tweet",1,docaoimh great need us send tweet
@dannygokey Totally understand!  Best of luck with your foundation. You are a amazing person. God Bless,1,dannygokey totally understand best luck foundation amazing person god bless
&quot;up yours trigonometry&quot; as overheard by me today,1,quot trigonometry quot overheard today
@iD3sign get some rest and you'll be allright,1,id3sign get rest allright
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retwee,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retwee
Watching Kobe Doing Work,1,watching kobe work
I am so glad to have friends like @tinacramer and Caleb! I'm proud of you guys,1,glad friends like tinacramer caleb proud guys
@kristenstewart9 i loved when u dropped ur award... that made my night. i'm super klutzy so that made my day,1,kristenstewart9 loved u dropped ur award made night super klutzy made day
what a lovely day! going to enjoy the sun,1,lovely day going enjoy sun
@AML6349 haha im messing with you,1,aml6349 haha im messing
"@Young_SoulBlade Ok, bye",1,young soulblade ok bye
Second night straight sleeping through the night. Great move Khloe!!!!,1,second night straight sleeping night great move khloe
@mileycyrus http://twitpic.com/6dvj4 - I love your shoes,1,mileycyrus
@nanachelle  Mornin' 2 ya! Been under the weather so hadn't chatted much! But June is grill month so I'll b posting some dishes!  How R U?,1,nanachelle mornin' 2 ya weather chatted much june grill month b posting dishes r u
@trakin indeed something to be proud of! keep up the good work,1,trakin indeed something proud keep good work
@Tarale That's so freaky...that exact same thing happened to a friend of mine last week (Wednesday).  You're okay obviously tho,1,tarale freaky exact thing happened friend mine last week wednesday okay obviously tho
"@NEQuilter_Etsy thanks so much, NEQ",1,nequilter etsy thanks much neq
@Caromans Oh yes! Hips I have but no waist. Just go straight up and down Nightmare buying clothes to fit,1,caromans oh yes hips waist go straight nightmare buying clothes fit
"hahah  Mothers, others and Jonas Brothers!",1,hahah mothers others jonas brothers
"#musicmonday -&gt; McFly all the way   Already listened to One For The Radio 20 times today, probably annoying the neighbours by now!",1,musicmonday gt mcfly way already listened one radio 20 times today probably annoying neighbours
is watching an amazing sunrise while floating back into the port of Miami.,1,watching amazing sunrise floating back port miami
Is dying for the p!nk concert to come faster! Is so excited for @KaylaLeee only 2 days!!! omfg!!  Twitter/Myspace/PP/Facebook/MSN!! arghh!,1,dying p nk concert come faster excited kaylaleee 2 days omfg twitter myspace pp facebook msn arghh
Whooo love life so much and love the people in it theres so many beautiful minded people hehe  the sun is shineing ahhh am so off skiving,1,whooo love life much love people theres many beautiful minded people hehe sun shineing ahhh skiving
@lightedrooms Nah. It's not on GSM. But I'm planning to get one when it's available on GSM and contract in Singapore.,1,lightedrooms nah gsm planning get one available gsm contract singapore
@smackthis still need those energy shots?,1,smackthis still need energy shots
"My 6 yo just called and left me a VM. He said, I love you mommy and it's ok to come pick me up tomorrow.  Awww, now mama is a mess.",1,6 yo called left vm said love mommy ok come pick tomorrow awww mama mess
"@chiniehdiaz  already tweeted it today, but I have to as well - for the love of Chuck!  #chuckmemondays #chuckeu ♫ http://blip.fm/~7f7yi",1,chiniehdiaz already tweeted today well love chuck chuckmemondays chuckeu ♫
first day of working in a hospital.. was about the most amazing thing I've ever done,1,first day working hospital amazing thing ever done
cooked dinner tonight......wow i was suprised how good it actually turned out  WATCH OUT THE NEXT MASTER CHEF COMIN THROUGH LOL,1,cooked dinner tonight wow suprised good actually turned watch next master chef comin lol
We have another great follower from &quot;Down Under&quot;. Say &quot;G-Day&quot; &amp; welcome @prayerradio to &quot;The Loop&quot;! Thanks for the follow!,1,another great follower quot quot say quot g day quot amp welcome prayerradio quot loop quot thanks follow
Hey everyone,1,hey everyone
@KurttheHurt aw yay &lt;3,1,kurtthehurt aw yay lt 3
"@nkotbfan42175 i'm going to go to work but i would rather stay home today, guess i will go get dressed. already have my coffee.",1,nkotbfan42175 going go work would rather stay home today guess go get dressed already coffee
@tszcheetah LOL thanks.  I'm not sure what WW id is...,1,tszcheetah lol thanks sure ww id
#musicmonday mosh-pit www.thesixtyone.com in just over 2 hrs time.,1,musicmonday mosh pit www thesixtyone com 2 hrs time
@Schofe try that on a saturday morning and then serving breakfast to over 100 people,1,schofe try saturday morning serving breakfast 100 people
is happy because the weather is good! Gettin my legs out  !! Whoooo! Time to slap on some fake tan!,1,happy weather good gettin legs whoooo time slap fake tan
Niki Aguirre's 29 Ways to Drown is on the list for the just-launched People's Book Prize. Please vote for it: http://tr.im/n1Bm  - Pedro,1,niki aguirre 29 ways drown list launched people book prize please vote
@sarahhh3 me too  oi nats brother fixed my Internet and secured it!! Yah it's so fast  xx,1,sarahhh3 oi nats brother fixed internet secured yah fast xx
@jasonauk Hope you like my music choices,1,jasonauk hope like music choices
@triples23 i love you more,1,triples23 love
@alaninbelfast I found MoreThan particularly easy to work with on insurance for home and dog,1,alaninbelfast found morethan particularly easy work insurance home dog
Good Moning Twitterville!   going to school today,1,good moning twitterville going school today
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retweet,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retweet
@Debbiey43 pardon the multiple typos in previous tweet.,1,debbiey43 pardon multiple typos previous tweet
@shiraabel @simonsynett Precis or summary would probably also work in that case   (I can't figure out how to type an e acute...),1,shiraabel simonsynett precis summary would probably also work case cannot figure type e acute
"@syima5424 waaaa, susa nye adeyh, br abis VIVA Advertising and Promotions! lagi 2 VIVA minggu ni, rabu n khamis, adeyh!, wish me luck!",1,syima5424 waaaa susa nye adeyh br abis viva advertising promotions lagi 2 viva minggu ni rabu n khamis adeyh wish luck
@kuuchuu HURRAAAAY - successsss!,1,kuuchuu hurraaaay successsss
Ok guys getting the round up from him here.. laters,1,ok guys getting round laters
next weekend @ Rimini!!!,1,next weekend rimini
"@AceyBongos Bookmarked it, glad your here with us anyway acey! and we have lovely weather! ftw!",1,aceybongos bookmarked glad us anyway acey lovely weather ftw
@ludijean - hey got rid of the white because it looked to fake,1,ludijean hey got rid white looked fake
@cinderellahhhh awesome  have a good day and happy birthday if i forget to say again =],1,cinderellahhhh awesome good day happy birthday forget say
@Franklin_Turtle sounds nice ive been working &amp; stuff.. Getting my schedule ready I've got a busy summer ahead of me,1,franklin turtle sounds nice ive working amp stuff getting schedule ready got busy summer ahead
@usavsaustralia i need those yearbook pics [:    well... want.  but everyone gets them confused these days. want want want.,1,usavsaustralia need yearbook pics well want everyone gets confused days want want want
Terrible night sleep.. But who cares ?finished my exams !!!,1,terrible night sleep cares finished exams
Watching some Japanese Anime,1,watching japanese anime
@dannyDamnBoy Thanks for mentioning your gUrU,1,dannydamnboy thanks mentioning guru
@BengaluruHuDuGa Isn't having the kid enough for an identity stamp?,1,bengaluruhuduga kid enough identity stamp
I'm going to Japanese Garden,1,going japanese garden
"@nthlondonhippy OH NO! All 4 of mine have vanished! Megaweep, no more horny kitty!",1,nthlondonhippy oh 4 mine vanished megaweep horny kitty
"@alandavies1 She performed at the theatre I work at, she was so nice.",1,alandavies1 performed theatre work nice
http://twitpic.com/6e8mk My room,1,null
@Taytaytnk the fcc's a bitch,1,taytaytnk fcc bitch
@WildstarFamous @nicolettelue get better  about to go 4 my mornin run wsupppp wats happenin',1,wildstarfamous nicolettelue get better go 4 mornin run wsupppp wats happenin'
@vivyenx I use globe.,1,vivyenx use globe
@purplefae okay  yeah i still dont know how to use mine rofl &gt;.&lt;,1,purplefae okay yeah still dont know use mine rofl gt lt
Oh! And learnt Supermassive Black Hole on bass this morning  (Y) Win for the Gecko!,1,oh learnt supermassive black hole bass morning win gecko
asks cnu pa online? hehe. plurk time.  http://plurk.com/p/xm1ui,1,asks cnu pa online hehe plurk time
"@outcyde Just FYI, MAC stands for Media Access Control. Apple builds Macs.  Moving is no problem these days most files are cross platform.",1,outcyde fyi mac stands media access control apple builds macs moving problem days files cross platform
this is liezl and ema...........we are new here so bear with us,1,liezl ema new bear us
Been watching &quot;How I met your Mother&quot; since 11! Its just a Monday u know  &amp; I am in no mood for work,1,watching quot met mother quot since 11 monday u know amp mood work
doing some crazy stuffs,1,crazy stuffs
"I wish I could do this with a bike.. so cool, Inspired Bicycles - Danny MacAskill:  http://tr.im/n1CN awesome",1,wish could bike cool inspired bicycles danny macaskill
@ebassman Good Morning  I hope u are finally getting some sleep. Time zone adjustments are horrible  Have a great day!,1,ebassman good morning hope u finally getting sleep time zone adjustments horrible great day
"@JayLink_ nitey,nite  party later with u",1,jaylink nitey nite party later u
Back Later my Tweetys,1,back later tweetys
is going be a dad again,1,going dad
"@kyle270 aw good  lmfao baby block them!haha,i'm sat in citizenship doing nothing :l its so pointless!haha love you xx",1,kyle270 aw good lmfao baby block haha sat citizenship nothing l pointless haha love xx
"May was such a busy month, hope June slows down.. 3 bdays, Mom Robin and Cece here we go",1,may busy month hope june slows 3 bdays mom robin cece go
@LucreziaMag I'm here now http://littlebitcheaper.blogspot.com/  You well?,1,lucreziamag
@myhaloburns : Hey congrats on your followers - I'm almost in double figures,1,myhaloburns hey congrats followers almost double figures
@meryreino Morning  *Its u&amp;me 4eva*,1,meryreino morning u amp 4eva
"Need to watch Heros episode before last, missed it due to the wild weather... in bed tonight might be good",1,need watch heros episode last missed due wild weather bed tonight might good
"Good morning twitterverse! Going to work, BBL!  Have a great day, everyone!",1,good morning twitterverse going work bbl great day everyone
@saigonnezumi  good that i already got yours .. out for shopping,1,saigonnezumi good already got shopping
Love sleeping with the windows open after such a long winter. Birds started chirping at 4 AM !! wish they would have slept longer,1,love sleeping windows open long winter birds started chirping 4 wish would slept longer
Enjoying my day off and trying out Irish fiddle...I might have discovered my new hobby.,1,enjoying day trying irish fiddle might discovered new hobby
just learned how to write in korean and how to say some words,1,learned write korean say words
"@KKMommy72 It's nice to do on a winter evening....you'll have to wait 6 months   It's Winter today....YAY, I love winter.",1,kkmommy72 nice winter evening wait 6 months winter today yay love winter
is watching the 'New Moon' trailer. (thanks to Lori)  http://plurk.com/p/xm1w4,1,watching 'new moon' trailer thanks lori
"woo! rocked out to Paramore, 30 Seconds to Mars &amp; Rise Against",1,woo rocked paramore 30 seconds mars amp rise
"has been walking down memory lane over the weekend on YouTube  Hearing songs by Peter Murphy, Chicago etc brought back a lot of memories!",1,walking memory lane weekend youtube hearing songs peter murphy chicago etc brought back lot memories
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retweet,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retweet
@colwar booooohoooo you better have a coffee for me  mine is short and black thanx,1,colwar booooohoooo better coffee mine short black thanx
should have the spring hill video done soon,1,spring hill video done soon
"Only 3 school days this week, awsome",1,3 school days week awsome
"Exams are overrrrr!!!!!  no more college, bring on the sun",1,exams overrrrr college bring sun
Waiting for the bus. Its cold out here. Got my yogurt and oreos for bfast,1,waiting bus cold got yogurt oreos bfast
is loving this weatherrr  xx,1,loving weatherrr xx
@Pink A little outta the price range. Sorry but don't do beer. Love my vino. Enjoy,1,pink little outta price range sorry beer love vino enjoy
"Q : What did the Wasp say when it flew into a thunderstorm?   A: Im stinging in the rain, just stinging in the rain..",1,q wasp say flew thunderstorm im stinging rain stinging rain
Lol @ sleeping   @ijohn so just directed me now i cant sleep :p night everyone,1,lol sleeping ijohn directed cant sleep p night everyone
another rainy day! at least i got an A on my midterm,1,another rainy day least got midterm
"Tired.It's Monday.School,Smelyalata - . -''",1,tired monday school smelyalata ''
@warrenelsmore And you don't even have  a beard you can shave off to look younger.  Bummer.,1,warrenelsmore even beard shave look younger bummer
@jtimberlake wish you much fun,1,jtimberlake wish much fun
@Mithrandir καλό μήνα!,1,mithrandir καλό μήνα
@lornajane Be sure to include all the naughty bits,1,lornajane sure include naughty bits
Starbucks! wohoow it's better than in New York.,1,starbucks wohoow better new york
oohh frosties is good,1,oohh frosties good
@Miatgw Det er ham der spiller Jacob Black i Twilight filmene,1,miatgw det er ham der spiller jacob black twilight filmene
Internets down at work. Good fucking times. Shorts on too  pls don't come back online for a while!!! PLEASE,1,internets work good fucking times shorts pls come back online please
@smackthis heheheheh what my chocolate? lol lol k I'll stop and get some b4 I get home baby!,1,smackthis heheheheh chocolate lol lol k stop get b4 get home baby
"@kittencaboodle The money from the Touch will cover the Phone cost, as I'll need the 16GB version for all my music!",1,kittencaboodle money touch cover phone cost need 16gb version music
WOOP I GOT MYSELF A GREENSCREEN ZOMG  www.youtube.com/MungoMcKenzie,1,woop got greenscreen zomg www youtube com mungomckenzie
Back from massage .. A bit painful but feel so good after all,1,back massage bit painful feel good
"@ChariceManiacs I know that you tweeted @caramelflavored 'cause you thought it was me. I'm not saying anything to you anymore, so stop.",1,charicemaniacs know tweeted caramelflavored thought saying anything anymore stop
"@amanda i'd be happy to send over a PDF portfolio if you want (I'm her agent, it seems  just DM me your email",1,amanda would happy send pdf portfolio want agent seems dm email
: It's OVER!!!!,1,null
"sitting in college doing costume designs for our project, going to sunbathe on the green at lunch.  x",1,sitting college costume designs project going sunbathe green lunch x
"@Ozquilter ooh. New avatar.  Looks like headless woman but isn't, well is, sort of... It's a gorgeous medieval frock",1,ozquilter ooh new avatar looks like headless woman well sort gorgeous medieval frock
@ccmaine One word: Ambien.,1,ccmaine one word ambien
right .. to the library for last minute checks with onyi... then exam time... thanks for all the luck girls,1,right library last minute checks onyi exam time thanks luck girls
"@combustiblesong cause i feel independent alot  &quot;Quite shy, they will never approach anyone that isn't a close friend.&quot;",1,combustiblesong cause feel independent alot quot quite shy never approach anyone close friend quot
@veronicasmusic UK tour before September please,1,veronicasmusic uk tour september please
"@ItBeMeT: Not right now, I can if you want me too.",1,itbemet right want
@Mitchley Thanks for following,1,mitchley thanks following
@mia_nz hello!  Not too cold down here...  But cold enough as an excuse to light the fire    love winter,1,mia nz hello cold cold enough excuse light fire love winter
Updating the ONM 'Where Doest Thou Liveth?' thread.,1,updating onm 'where doest thou liveth ' thread
"@boagworld No experience, but would be interested to hear how you get on!",1,boagworld experience would interested hear get
@omg_raptor It's been storming all night here and is supposed to rain for the next couple days!  How's the holiday going?,1,omg raptor storming night supposed rain next couple days holiday going
@riddletm Hello! Did you get home alright on Sat? We missed the train and somehow ended up staying in a hotel for free,1,riddletm hello get home alright sat missed train somehow ended staying hotel free
"this is the last monday at that hellhole, EVER!",1,last monday hellhole ever
@karlatotz MTV MOVIE AWARDS will air in june 14 here.  i thiink,1,karlatotz mtv movie awards air june 14 thiink
"@AshesBorn To me it's a &quot;long story&quot; because I'm on chapter 21 now, and only just halfway through it!",1,ashesborn quot long story quot chapter 21 halfway
@cindyscottday Yes - hot in the city! Unusuall for Finland,1,cindyscottday yes hot city unusuall finland
@ladygaga just saw... paparazzzzzzi  AND ITS AMAZZZZZZZZING,1,ladygaga saw paparazzzzzzi amazzzzzzzzing
@gillmac good luck!,1,gillmac good luck
good morning,1,good morning
@KayDeeFortuin actually I was just mocking you two and your dancing... that was cute tho,1,kaydeefortuin actually mocking two dancing cute tho
Going to the beach with my  big  sis,1,going beach big sis
"Im going well im history, suprising that. coming 3",1,im going well im history suprising coming 3
Inbox inbox inbox. @clarchrs is going mad at me,1,inbox inbox inbox clarchrs going mad
@siduli perhaps lodge a complaint with www.getclosure.co.za @getclosure re: KFC - not Hello Peter,1,siduli perhaps lodge complaint www getclosure co za getclosure kfc hello peter
@MrsOTF Sounds like a much needed treat! Enjoy,1,mrsotf sounds like much needed treat enjoy
This is DEEEEEP  http://bit.ly/dWOvf,1,deeeeep
"just had gelatto with mary &amp; heather, and awesome lasagna, colosseum &amp; sistine chapel today! (In the rain!)",1,gelatto mary amp heather awesome lasagna colosseum amp sistine chapel today rain
Listening to The Ketchup Song now! Brings back memories  lol I don't know what ever possessed me to listen to this thing all over again.,1,listening ketchup song brings back memories lol know ever possessed listen thing
"goin to sleep now, nunightt",1,goin sleep nunightt
@alxalxalx  Lol. They all worked collaboratively. The robin was the ringmaster,1,alxalxalx lol worked collaboratively robin ringmaster
@smeieralbano I saw you the other day at Fashion Week! You're gorgeous.,1,smeieralbano saw day fashion week gorgeous
its amazing how happy mr sunny makes you  xx,1,amazing happy mr sunny makes xx
@Music4urSoul &amp; @Babelpop thank you's &lt;3 luckily i felt pretty comfortable while performing,1,music4ursoul amp babelpop thank lt 3 luckily felt pretty comfortable performing
I'm going to this reggae show tonight in NYC: Reggae artist Cezar at SOB's @ 9pm!!! He's dope. I co-sign. Don't miss it,1,going reggae show tonight nyc reggae artist cezar sob 9pm dope co sign miss
Bing - I may have spoken too soon   http://bit.ly/80VFz,1,bing may spoken soon
good morning shrooms  guna be fucked for school.,1,good morning shrooms guna fucked school
"@eweirdguy I bet... the terminology is puzzling to me.  [seriously though, have fun]",1,eweirdguy bet terminology puzzling seriously though fun
"@kapachino Hey Kap, How did you get your account unsuspended, or did Twitter just do it?  I had to start over...  Aargh!",1,kapachino hey kap get account unsuspended twitter start aargh
@truckerfrank  for rt - hope you are keeping well,1,truckerfrank rt hope keeping well
"@liaquintans Haha  Btw, I've finished doing the invitation for my birthday. I'll send you a digital copy. What's your email address?",1,liaquintans haha btw finished invitation birthday send digital copy email address
marconies show reminds me why i love 'odd' music so much. &quot;tortoise&quot; with out of tune guitars. brilliant,1,marconies show reminds love 'odd' music much quot tortoise quot tune guitars brilliant
I HATE being SICK!!!!!!! &gt; 11 days until my birthday,1,hate sick gt 11 days birthday
says PCSIANS hoorey  weee . http://plurk.com/p/xm21k,1,says pcsians hoorey weee
"@stefalways lol but his not on myspace atm, rofl when he gets on i will ask",1,stefalways lol myspace atm rofl gets ask
@adiyadoni Think they cleaned it up good man... Cannot find it anywhere.,1,adiyadoni think cleaned good man cannot find anywhere
"... oh, morning by the way",1,oh morning way
"@alexandramusic Same here, I been bk in Londoon from Florida 2 weeks and im stil not sleeping til stupid o clock! Hope it was fun",1,alexandramusic bk londoon florida 2 weeks im stil sleeping til stupid clock hope fun
Watching Beach Ball Babes online,1,watching beach ball babes online
@sleepynikki he is american shorthair but his round head is rather like exotic-shorthair ka,1,sleepynikki american shorthair round head rather like exotic shorthair ka
2 thumbs up for &quot;bruno&quot; stunt on eminem last night,1,2 thumbs quot bruno quot stunt eminem last night
loops n me r goin to bake in the sun today  // @Misses_Gola was great on friday! loads of fun! still talkin with u!!,1,loops n r goin bake sun today misses gola great friday loads fun still talkin u
enjoying soup for dinner.  plus sweet corn!,1,enjoying soup dinner plus sweet corn
Thats an A ensured for my maths if not a low A*!!,1,thats ensured maths low
"@d_TRIX well, that must be fun! happy watching!",1,trix well must fun happy watching
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retwee,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retwee
hello  wonderful day! so sunny and hot  and I'm going for a swim in the pool. ♥,1,hello wonderful day sunny hot going swim pool ♥
@Ankit_A Best of Luck for that,1,ankit best luck
First day of June,1,first day june
on my way to school. only 2 days 'til graduation!,1,way school 2 days 'til graduation
"yay my g1 is updated, Good $$$  morning twitshines!!!",1,yay g1 updated good morning twitshines
Filling in already for someone at work this morning and then I have orientation. Hopefully this day goes fast! Please go fast! K thanks,1,filling already someone work morning orientation hopefully day goes fast please go fast k thanks
"Tja, I don't say it to you. That's secret",1,tja say secret
Goodbye - Kristinia DeBarge  .. such a good song,1,goodbye kristinia debarge good song
....schooollll... there's only 2 weeks anyway.. after that... hello full-time job and endless shopping.  ♥ http://plurk.com/p/xm2g3,1,schooollll 2 weeks anyway hello full time job endless shopping ♥
hitting town with my bff  desperately need to shop!,1,hitting town bff desperately need shop
@northernrach oh hai durrr  you okay?,1,northernrach oh hai durrr okay
http://bit.ly/12f227  he can sing,1,null
@andiedoodle Naps are perfect with this kind of weather.,1,andiedoodle naps perfect kind weather
@arianna_skye my pleasure ...I had a great time,1,arianna skye pleasure great time
My exam ever over LOL yay,1,exam ever lol yay
@FaithfulChosen Good. Glad to hear it - we know you're brilliant and clever anyway! #Faithfan I'll leave you alone now,1,faithfulchosen good glad hear know brilliant clever anyway faithfan leave alone
jake and i are at Kouzina. the first resto to open at Station Streat,1,jake kouzina first resto open station streat
Mr. Four-eyed...,1,mr four eyed
"@ashleigh92 i will haha :') you should just go home ;o haha, i love you baba  xxx",1,ashleigh92 haha ' go home haha love baba xxx
Am I following real Leona Lewis... check it out 4 me,1,following real leona lewis check 4
~ Thinking today might be a pool day...  hmmm  yup yup  Sunny Cheers !,1,~ thinking today might pool day hmmm yup yup sunny cheers
"@shandrarestiana hhii gpp nanya aja, smakin cepet smesteran kan enakk habis itu libur",1,shandrarestiana hhii gpp nanya aja smakin cepet smesteran kan enakk habis itu libur
@myinnersexygirl Good too thanks,1,myinnersexygirl good thanks
field day ! BRIGHT BRAWLERS!,1,field day bright brawlers
@brainstuck name for a bus route? interesting,1,brainstuck name bus route interesting
I have found a cute as vintage dress on ebay... buy it me someone,1,found cute vintage dress ebay buy someone
You text... I come inside and answer you... One or the other now... And I'm staying outside!  Serves you right for not being here! ♥♥,1,text come inside answer one staying outside serves right ♥♥
#mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday #mileymonday  retweet,1,mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday mileymonday retweet
.@karinyoshida International Children's day - what can we do?,1,karinyoshida international children day
